year,total_mean,total_sd,elevation_0_1000m_mean,elevation_0_1000m_sd,elevation_1000_2000m_mean,elevation_1000_2000m_sd,elevation_2000_3000m_mean,elevation_2000_3000m_sd,elevation_above_3000m_mean,elevation_above_3000m_sd
1981,0.9760913913283208,0.9442073696255584,0.9346289752650176,0.9441855466165461,0.9769230769230769,0.9958790829859788,1.3707865168539326,0.8125701003040245,0.7333333333333333,1.1234866364235145
1982,1.1405569456190476,1.023105017320184,1.5053003533568905,0.9708508698840649,0.38461538461538464,0.5020667345255606,0.1348314606741573,0.3729930937684906,0.13333333333333333,0.49888765156985887
1983,1.2348388335614036,1.1657350637547539,1.4628975265017667,1.2100293837921974,1,0.8503392987960294,0.29213483146067415,0.5446831300467785,0.2,0.4
1984,0.9551778535338346,1.2764027918449696,1.3303886925795052,1.3392797194534383,0.03076923076923077,0.21261961478592697,0.0898876404494382,0.3560220116349406,0.2,0.5416025603090641
1985,1.1819470783045112,1.0109908771521543,1.3904593639575973,1.038744553944189,1.0307692307692307,0.678669076926547,0.2247191011235955,0.4681498124943743,0,0
1986,1.3240001649899749,1.2272451373698676,1.342756183745583,1.2394468305877373,0.8384615384615385,1.021340342233947,1.9101123595505618,1.1673503025863168,1,1.0954451150103321
1987,1.4884688691578947,1.3086577471579015,1.568904593639576,1.3403316403383054,1.5384615384615385,1.3135614896084038,1.0898876404494382,0.9902950353496945,0.5333333333333333,0.6182412330330469
1988,1.2912239483609023,1.1045795727278451,1.411660777385159,1.1458043287750654,1.2615384615384615,0.9076923076923077,0.7865168539325843,0.8928166528233228,0.2,0.5416025603090641
1989,1.385195555330827,0.9998400162386537,1.3657243816254416,0.9940592557253158,1.5,1.0095695960312836,1.2921348314606742,0.9622334411688378,1.6,1.1430952132988164
1990,2.0542921399949874,1.2693589791393873,2.409893992932862,1.2246760541162518,1.1538461538461537,0.9644571088404603,1.1910112359550562,0.7771513018332846,1.3333333333333333,0.9428090415820634
1991,1.5832103127581454,1.817792746686121,2.1307420494699647,1.8733414753548925,0.3230769230769231,0.5713059885423736,0.15730337078651685,0.4213108597584871,0.13333333333333333,0.339934634239519
1992,1.1028633880225565,0.9813616878981509,0.8798586572438163,0.8954442890106966,1.6307692307692307,1.0238574235061437,1.6853932584269662,0.9668145961482676,1.2,0.5416025603090641
1993,0.7150129277055138,0.8649654932960492,0.9876325088339223,0.8826091935988173,0.08461538461538462,0.27830850023270065,0.02247191011235955,0.14821242649744854,0.06666666666666667,0.24944382578492943
1994,1.5237891982894738,1.458996478808047,1.2720848056537102,1.3941440754295629,2.6846153846153844,1.3069907620450139,1.4382022471910112,1.2978379270690044,1.3333333333333333,0.9428090415820634
1995,1.3415275582957393,1.1965425458096788,1.3586572438162545,1.0832751833218022,0.7769230769230769,1.3024555779543419,1.9662921348314606,1.3775849100219417,1.8,0.7483314773547883
1996,0.8331693956052632,1.0356378312980448,0.7049469964664311,1.0463854565562312,1.1076923076923078,0.9219223548663775,1.2696629213483146,0.968771316620219,0.4666666666666667,0.6182412330330469
1997,0.6708927311077694,0.7011057406183757,0.8109540636042403,0.6942114076095398,0.43846153846153846,0.6679917797035225,0.20224719101123595,0.45418838048107274,0,0
1998,2.8227842934373433,1.7570480453234827,3.360424028268551,1.755593533287899,1.5076923076923077,0.8704212406040391,1.550561797752809,0.7497001041623496,1.0666666666666667,0.24944382578492943
1999,1.3966711990639098,1.1459466298856218,1.6130742049469964,1.2198760660008676,0.7692307692307693,0.8277723724501296,1.0561797752808988,0.6063252837407659,1.1333333333333333,0.49888765156985887
2000,2.2426423973646616,1.384379251579851,2.196113074204947,1.2562433824611674,1.9615384615384615,1.3834396717760362,2.932584269662921,1.9185537203138423,2.066666666666667,0.771722460186015
2001,1.7618799128195488,1.2169964134193774,1.8268551236749118,1.1626032399311825,1.123076923076923,1.1702424772760993,2.2247191011235956,1.3218374085260893,2.2,0.5416025603090641
2002,2.523844939849624,1.5026286624097482,2.722614840989399,1.6046809453776754,2.3384615384615386,1.186811151809407,1.651685393258427,0.7359336132050703,2,0.8944271909999159
2003,2.0759070620162907,1.4964033399281327,1.4840989399293287,1.2017043921203248,3.6076923076923078,1.0190202975720872,3.449438202247191,1.2362614533392597,3,0.8944271909999159
2004,1.0462781241253132,0.8829250843222373,0.8692579505300353,0.8218795664820647,1.2230769230769232,0.6594331436968551,1.6741573033707866,1.0576131798427049,2.2,0.8326663997864531
2005,1.5499993116503759,1.3483715355277432,1.5547703180212014,1.3837791497316523,0.9615384615384616,1.0698946472494466,2.359550561797753,1.0731366501594355,1.8,0.8326663997864531
2006,2.449671554434837,1.386536853930939,2.5865724381625443,1.4773065157821854,2.276923076923077,1.0378630754167957,2.033707865168539,1.021669026666904,0.9333333333333333,0.679869268479038
2007,2.8376809500764413,1.62974119362079,2.8763250883392226,1.6002113134440907,3.5,1.4531133684397999,1.9325842696629214,1.4975467039592032,0.8666666666666667,0.6182412330330469
2008,1.0362830077769423,0.9168420079985408,1.1784452296819787,0.940807329236861,0.9076923076923077,0.8175587849591645,0.47191011235955055,0.5423603769054908,0.13333333333333333,0.339934634239519
2009,0.9836672011804511,0.9821414707638305,0.9575971731448764,1.0235584814454939,1.2461538461538462,0.7948056217285839,0.8764044943820225,0.9096267257532178,0.3333333333333333,0.4714045207910317
2010,1.9766931816804512,1.4230135154446943,2.3321554770318023,1.5326567445696864,1.1,0.666217797605373,1.2584269662921348,0.7271321207803791,1.5333333333333334,1.2578641509408806
2011,1.9814495347807017,1.213859218413421,2.010600706713781,1.202130320304736,2.4692307692307693,1.171379604361794,1.3595505617977528,0.9510159087415203,0.6666666666666666,0.7888106377466155
2012,3.3825137214298246,1.8611403298623306,3.5035335689045937,1.8672805441332512,2.753846153846154,1.5741250974700858,3.539325842696629,2.0666217332179007,3.3333333333333335,1.1925695879998879
2013,1.3977568358057644,1.0111714473694609,1.3091872791519434,1.0723741256109625,1.646153846153846,0.8025108526612292,1.696629213483146,0.7847492175386168,1,0.5163977794943222
2014,1.6900438104461153,1.964053169564622,1.3268551236749118,1.907087303335749,3.169230769230769,2.053658879390491,1.8764044943820224,1.0474176347345094,1,0.8944271909999159
2015,3.6256071129949876,1.6069220622623948,3.362190812720848,1.670123502866556,4.592307692307692,1.1812389444083624,4.01123595505618,1.0757216759461958,3.1333333333333333,0.9568466729604883
2016,3.1462046468746867,1.523198038571451,3.408127208480565,1.5765074197717521,3.0307692307692307,0.9602760944201375,1.9775280898876404,1.0491037168752764,1.2666666666666666,0.679869268479038
2017,2.9085501473145365,1.113337615128698,2.885159010600707,1.0274804819525125,3.1769230769230767,1.3036362435976157,2.7752808988764044,1.2519899574996962,2.1333333333333333,0.8055363982396381
2018,3.2556152097493736,1.723174174277662,3.3197879858657244,1.7038298029594487,2.8461538461538463,1.7779051565148605,3.4269662921348316,1.6886111602583862,3.1333333333333333,1.54344492037203
2019,2.0434034846904763,1.5910923095689167,2.146643109540636,1.625127677456624,2.292307692307692,1.6522532579487827,1.1573033707865168,0.8981738827735434,0.7333333333333333,0.4422166387140533
