t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1981-01-01,5.1201048525616795,5.736997899799249,13.481867521772664,1.3034362099290782,2.6269481357466677,7.761191577750704,6.341716071263147,1.9764844416669796,5.930069143705339,4.044167060050542,2.2357055866008064,5.648888491565738,3.9228245916035593,7.785206004164487,5.950534114589095,6.628928364747012,10.054254016658865,3.537194449402424,5.4278589297796644,8.012160917025744,5.616882487393327,5.679708848451951,2.860977005239434,2.9237023008624554,4.234653571037599,16.40167454841203,2.994935496967196,4.344895217911963,14.230775422684772,3.8290099771441746,9.59886330156744,5.427173462820595,5.0418692878423155,3.0377627551299433,5.752762002223441,4.273242475477327,6.821051106420663,3.5190720754982365,5.512991274687876,0.9825612501478388
1981-01-02,4.351699978645556,5.616208483874872,12.99091877355336,0.31254966043338683,1.0421602237698302,6.656105764978747,5.543403392719627,0.7991890907734991,5.62831450102228,2.8917699902368383,1.9284393684608592,3.396219864124338,3.1765748832095113,6.642815192301391,4.803431282756179,6.756674451488743,9.878591216052836,2.9412093921378553,4.195820581093676,5.8782848053470795,4.975510003562576,5.229078970431187,1.4190758116278666,1.6604405032866794,4.717858648149342,14.658124456508355,2.479492417480172,3.6412271225246826,12.687807155835632,3.344472957408895,11.483732895741229,4.811971156099473,4.00161040147232,1.4431053666639553,5.009242152346927,3.216781146549246,6.929076332144784,2.3752359343269074,5.067270556622431,-0.2904343342118807
1981-01-03,4.53077685700676,4.774391346363991,11.77181204368664,-0.2380105386221807,0.5995068728679787,5.7727938578067794,5.849658644573187,0.16235285415651113,3.44205101162307,2.2469920067357236,0.18883340197115572,2.340799602762079,3.968463901932859,5.5867827676139115,5.604670881820143,6.228350675813198,9.212482654927843,1.9030139250780904,4.13312881798401,4.424469431757537,6.016279987822188,4.648123497583134,0.863869409907764,1.0275072952591504,3.701010914883078,14.376873542055886,1.50617534533124,3.967662240915883,11.447594906097468,2.353148925587792,9.8810753514318,5.352356966742115,4.5822812378697915,0.8939426156068517,5.392405705251667,3.591381431333936,6.1891499199786075,1.010785488656996,4.542725349323984,-0.3347549589578094
1981-01-04,3.6927291639100392,4.332052265296616,12.224528579829215,-0.117456474152009,0.5818071645972545,5.617275519642895,5.564684841312307,-0.38345118678374845,3.19775027548088,0.3916614375250038,-0.399816612953261,0.7823557690687863,3.6709143144072303,5.582070279748556,5.407871992167704,5.817524670971899,8.654663836469538,0.37670515674233584,4.371559024811228,2.8016829435412145,5.5569499822373265,4.124751148426256,-0.17315085953275575,0.41489868945481767,3.60134526675602,13.046947290934051,0.2360846124192193,4.012878105785829,11.66646926306582,1.1564569652825956,9.92589888589548,4.994324862858859,4.536555366866478,-0.02047186744164442,5.259482588360715,3.796794589719763,5.7812869415965515,0.22508048925720736,4.003157576042046,-0.1463162707631458
1981-01-05,3.666416278662174,3.996384788170028,11.593840100631812,-0.01624131197754508,0.5309937094745347,2.946375738672355,4.767726954290959,-0.1798082331727624,0.3956299714893916,0.05038857188671919,-0.10831379539420104,0.7412269716988149,2.5273222587400994,2.649464048726383,4.409072549345886,5.864487345839923,9.272731223517871,0.6528610007468352,3.612778294158632,2.680639148410867,4.554734668060783,4.210340159376823,-0.06671242353367823,0.4146039152676426,3.276147732055424,11.887489077028246,0.43514686874059905,3.229344141669367,10.973786341071378,1.279093944710299,8.753663513284831,3.9820001197661945,3.6535335549263337,0.2402948924101267,4.52834769935318,3.0242741066760193,5.211387528314918,0.01838763658260767,3.889559558528516,-0.23110674000030507
1981-01-06,3.9093055299398465,3.1722265740357187,13.334797271444584,0.13128225114155434,-0.03351913444069687,3.3476686839143106,4.432453289239833,0.22710881640229985,0.7843076732764622,0.4623245809026919,0.405524402407087,1.1873014187888715,2.105572920699199,3.05110089718671,3.667061974500752,4.858065104923807,7.98455944747394,0.7647044100033664,3.404776113811362,3.331802346315678,3.797283540554046,2.998921966927099,0.19156513207083137,0.7984022464484699,2.43152922599271,12.65200283029628,0.5943904351905669,2.8311346280043796,11.747239963777488,1.0317737227142842,7.85820815732264,3.539073049976251,3.1049619118953675,0.2186726599026425,4.193438992819507,2.4685109092690283,4.426194406630639,0.30004437242927473,2.77258140090356,-0.2919869675628526
1981-01-07,3.509328930803587,2.7674930369582587,14.577765581850256,-0.2265642541794044,0.2356159370581263,5.072577739713027,3.968253348942019,-0.22816367708389684,3.000320974577347,0.05239272442915776,0.5651929739681965,0.4808399870564468,1.6573079426785142,4.946510618116771,2.772665622099895,4.3233306925204875,7.883466717964519,0.3374058309149941,2.335364996120731,3.40298173443387,3.0609430797696433,2.5196027622351913,0.05764095268231983,0.3977370610495754,2.2682024911722323,12.150282760338502,0.1487425528634354,2.08511496824847,12.859979590658948,0.7891620894541624,8.790483382688556,3.068693769310231,2.350595775617384,0.00682515808192185,3.2986924985931445,1.6115079882154628,5.036835511709455,0.504852385922911,2.4934255666925367,-0.2123605053825166
1981-01-08,3.5285953092913385,2.387837920741628,12.879594853113042,-0.19825969360337223,0.4618247125059192,3.8630298816826745,3.3999170186783125,-0.3523618679473852,1.789144528154143,-0.02261015003750799,-0.1392409104450305,0.43334547093007814,1.0857657481727951,3.4307739493988585,1.988607614984012,4.518912585885872,6.6513831393767955,-0.017225452253248,1.6799579857116562,3.0479223268509195,2.188434100679551,2.2911434092630873,-0.04225786338644788,0.515856509084923,1.7802537331594517,12.298848248831904,-0.05243615092883225,1.5788130078674705,11.116625100144288,0.5724055836433042,7.482567584798024,2.5181054965225513,1.5237502814592432,0.09871672189163404,2.663886148773031,0.8950624455877634,4.466671269554899,-0.3035595838001335,2.2914966703921635,0.03380011551209527
1981-01-09,3.183298542050336,2.3183304793358825,12.08377800733687,0.06357464789454781,0.10827192854631028,4.539580311501547,3.098777112745914,0.179225946981715,1.4420923728302473,0.3011447067628872,0.3412378953482822,0.3393741114664035,0.9417506217418036,4.130619338263555,1.8742562856588076,4.700519219440723,6.2905296254162835,0.7584923169476951,1.373935589869447,3.4178241606363073,2.074702732938487,2.022094898438274,0.3701195270843965,0.604021284956767,1.544062406468166,12.65079194004596,0.40012488793087897,1.179799493707831,10.711422653757968,1.0443273599236989,7.45327576464272,2.2687007999172195,1.393279950946399,0.3404877028401785,2.4985973720082804,0.8220621640117525,4.292324035228676,-0.02862494714250374,2.012734648256598,0.0947895186995229
1981-01-10,3.378475705777772,2.1658402051106336,11.586103525939867,-0.1005373715991773,0.2458137202478099,3.848653791363656,3.2067666224441833,-0.04115129044570054,1.4262712651333516,0.13605478560059403,0.31530322565803814,0.0909153436680672,1.206992802387763,3.516925994643451,2.2667738501380885,4.542611494743751,5.587041981740412,0.45419099684913,2.527666941784364,3.0702783755227756,2.655467148443,1.9633849263331644,0.22149017085043887,0.5200566513392353,1.3708919294129718,12.019254152469577,0.2630431935056592,1.826704842242323,10.373037717345529,0.9471821090795824,7.2843116684489715,2.187370418162864,1.495046450026507,0.26585368602042614,3.6855984359535903,1.0709896071711782,3.8817223083139143,-0.10673620761468604,1.9404081362512748,0.06642101240034748
1981-01-11,3.3259848451613596,1.7420921733085404,10.445929369174785,-0.11217939234084362,0.3509264522304907,2.5050792848225836,3.165821084158832,-0.28664671985443846,0.07958525328319865,-0.04176033446735339,-0.10093664245587952,0.13419490084817376,1.4450486927868198,2.1478745762107394,2.6858951749229476,4.48510323433821,4.957612999341174,0.37224065351063373,2.7726336492383226,2.8407982304580432,2.7118898912068747,1.8731855847090912,0.12612760199543516,0.6112424727166861,1.1863586092854437,11.926852582526497,0.15778931303652577,2.1761206498448704,9.807064025586811,0.8483017456257667,6.532947082029295,2.2937066969700908,1.560540127566126,0.17416097781317497,4.030723641498355,1.1871267377890629,3.164815108758152,-0.366465799030097,1.857277916338184,0.04054327000021907
1981-01-12,3.3281551006187957,1.851079860148568,9.0652323428013,0.01607545281282618,0.23241475177146675,1.4721398442748992,2.78144100286257,-0.03456800026543583,-0.1557342280608296,-0.15423618252229687,0.05422531527535845,0.3745567364098736,1.1183999021012117,1.212992002974918,2.324525416221931,4.180657646449628,5.078547618846644,0.788574880557487,2.5258390298935147,3.110829321906774,2.4054682245079633,1.5812741383826232,0.1384878423836362,0.9976290460330636,1.735166539561687,11.06051732905819,0.4275989339319306,2.1775461715754467,9.015726577716876,1.0953037986578469,7.051606943320819,2.108133089102635,1.244646695582983,0.2923061601029602,4.081416223607816,1.162587176619608,3.4346769779883193,-0.291180627590526,1.557326465065195,-0.01692365963304531
1981-01-13,3.4530855479948723,1.7406253208056874,8.156757091728865,0.03312868541908287,0.1326547447114752,1.90295855743976,2.6526753717496394,-0.0088150300080283,-0.3855574965180413,0.12712889844076258,0.1038425174797517,0.2325597993873796,1.101127538419302,1.615099086448124,2.418223836623408,4.417574991046363,4.983760561499936,1.0687257726067028,2.8722330121645623,4.233015936664399,2.22955743926828,1.5946130602652833,0.4659671476442231,1.037869621712046,1.644482926058684,10.980123830130482,0.7356083261469557,2.209358389013696,8.474388365712333,1.3315458140321113,6.565205827773302,1.7345457981516557,1.3238348956120145,0.4616757657605479,4.200675777097267,1.2591210439643952,3.807719170640791,-0.04351884185381216,1.597494516936223,-0.01559873544253775
