year,gap1_mean,gap1_sd,gap3_mean,gap3_sd,gap5_mean,gap5_sd,gap10_mean,gap10_sd,gap15_mean,gap15_sd,gap20_mean,gap20_sd
1981,0.9585427135678392,0.9381045452378417,0.9623115577889447,0.9362506160303409,0.9761306532663316,0.9453936535997809,1.0125628140703518,0.9555362496270439,1.028894472361809,0.9766683369610366,1.0427135678391959,0.987053131877416
1982,1.1256281407035176,1.0201967906906033,1.1369346733668342,1.0230513740600014,1.1407035175879396,1.0243827446736378,1.1545226130653266,1.0205398242211519,1.1582914572864322,1.0218095161393057,1.1746231155778895,1.029579743863695
1983,1.2035175879396984,1.1639393912951457,1.2160804020100502,1.1638334893839677,1.234924623115578,1.1671979538593993,1.2826633165829147,1.207628141445505,1.2864321608040201,1.2093417656245395,1.2927135678391959,1.2135491576796509
1984,0.9396984924623115,1.2634710737733077,0.9409547738693468,1.2640281395501707,0.9547738693467337,1.2779562394927568,0.9798994974874372,1.2903504433354915,0.9811557788944724,1.2898819295015387,0.9849246231155779,1.293340025663837
1985,1.1582914572864322,0.9981462543808284,1.1633165829145728,1.0023675396554148,1.1821608040201006,1.0122437145428733,1.1984924623115578,1.028302742144968,1.2123115577889447,1.0395447399374682,1.2386934673366834,1.0831170028065258
1986,1.2688442211055277,1.2123408080329179,1.2826633165829147,1.2231523114754468,1.3241206030150754,1.2287831504051625,1.3655778894472361,1.2522266126876107,1.400753768844221,1.2585104241608915,1.4334170854271358,1.286343902649607
1987,1.471105527638191,1.3061708534046654,1.4811557788944723,1.3053914985097983,1.4886934673366834,1.3102874240381348,1.5188442211055277,1.3377524268625436,1.5402010050251256,1.3568895098482026,1.5753768844221105,1.3729083058493126
1988,1.2600502512562815,1.112066238236892,1.2814070351758795,1.1028635250422796,1.2914572864321607,1.1059484159770685,1.3052763819095476,1.12424277196227,1.3304020100502512,1.1182332602584113,1.350502512562814,1.1177300666442107
1989,1.306532663316583,0.9378189806360285,1.3580402010050252,0.9847635113186382,1.385678391959799,1.0010037312733011,1.4623115577889447,1.0698082745609512,1.5113065326633166,1.10054202838147,1.5188442211055277,1.1061391502553233
1990,1.978643216080402,1.2340234010366746,2.0326633165829144,1.255503984984919,2.0552763819095476,1.270649731880119,2.101758793969849,1.2899015308761097,2.190954773869347,1.2743107024997802,2.221105527638191,1.2832179612286143
1991,1.5414572864321607,1.8276809065825643,1.5527638190954773,1.832887511121494,1.5829145728643217,1.8200586203120683,1.6344221105527639,1.815591742742718,1.6746231155778895,1.8232348703254493,1.7047738693467336,1.8543241523552871
1992,1.0866834170854272,0.9796796063487951,1.0942211055276383,0.9764094261133763,1.1030150753768844,0.9825859629646734,1.1758793969849246,1.1345776841123192,1.2185929648241205,1.176266786215168,1.228643216080402,1.188195045014894
1993,0.7010050251256281,0.8576985410947718,0.7110552763819096,0.8626000724501435,0.714824120603015,0.8660363518572528,0.7236180904522613,0.8710551541863397,0.7336683417085427,0.8813495144345268,0.7374371859296482,0.8846165156140984
1994,1.4974874371859297,1.4454417508802937,1.5087939698492463,1.4540935243731639,1.5238693467336684,1.460828782778388,1.6256281407035176,1.5501824546416474,1.6469849246231156,1.5700830262143495,1.7135678391959799,1.6470646531003825
1995,1.3190954773869348,1.187434075624564,1.3329145728643217,1.1936823414609377,1.3417085427135678,1.198035748976758,1.3944723618090453,1.2689497853444538,1.4447236180904524,1.3139636321685657,1.5125628140703518,1.362976013142429
1996,0.8278894472361809,1.037304716346728,0.8316582914572864,1.037317665150994,0.8329145728643216,1.0369146530570736,0.8329145728643216,1.0369146530570736,0.835427135678392,1.0421560589891927,0.8404522613065326,1.05254255635498
1997,0.6582914572864321,0.6941401417073112,0.6658291457286433,0.7014007124685181,0.6708542713567839,0.7019862378334198,0.7110552763819096,0.7333413780872399,0.7236180904522613,0.7466453107060728,0.7286432160804021,0.7501672221740702
1998,2.7462311557788945,1.77924395415204,2.807788944723618,1.756064678592346,2.8241206030150754,1.7588507126705706,2.869346733668342,1.7791284914413854,2.9233668341708543,1.816875947861469,2.957286432160804,1.8526023643429643
1999,1.3467336683417086,1.143921044212982,1.3806532663316582,1.1424689474890506,1.3969849246231156,1.147352853677381,1.4585427135678393,1.152318914161467,1.4824120603015076,1.172404811731574,1.5125628140703518,1.1916240025045766
2000,2.170854271356784,1.3620017727781837,2.2110552763819094,1.366509906748782,2.2437185929648242,1.3857852452193677,2.278894472361809,1.4089049350094331,2.358040201005025,1.4730102420637183,2.4045226130653266,1.4936948062876745
2001,1.7412060301507537,1.2124555063928983,1.7474874371859297,1.2111873559291857,1.7625628140703518,1.2183731662138897,1.835427135678392,1.2931561287410211,1.870603015075377,1.2903473817058624,1.8768844221105527,1.2885244222074135
2002,2.4459798994974875,1.478005257681388,2.46356783919598,1.487027116245248,2.5251256281407035,1.5040814441003605,2.663316582914573,1.56042601997023,2.6884422110552766,1.572056966153688,2.707286432160804,1.5760781429935418
2003,2.0389447236180906,1.4579181821595806,2.051507537688442,1.4729802036844408,2.0766331658291457,1.4981436634490721,2.169597989949749,1.5813791733031521,2.207286432160804,1.6131525986504387,2.2663316582914574,1.6828912259987756
2004,1.021356783919598,0.8677571282054702,1.0301507537688441,0.873996374580184,1.0464824120603016,0.884016100733998,1.0917085427135678,0.8833222567587782,1.114321608040201,0.8990538238610478,1.1670854271356783,0.9402111620114985
2005,1.493718592964824,1.319885926538824,1.5263819095477387,1.3338580633661572,1.550251256281407,1.3500477279001963,1.5816582914572865,1.3743802313025737,1.6092964824120604,1.389760943214051,1.6557788944723617,1.4378895335870832
2006,2.3354271356783918,1.3427845632726636,2.371859296482412,1.3662277167032988,2.451005025125628,1.3877674011602752,2.6545226130653266,1.4353987102368602,2.7185929648241207,1.453239635829347,2.7814070351758793,1.4605783398860037
2007,2.7851758793969847,1.612164869519183,2.8103015075376883,1.6308178014210193,2.8391959798994977,1.631227143670669,2.9949748743718594,1.677816752798613,3.1268844221105527,1.7054056391873806,3.199748743718593,1.7234016201506956
2008,0.9585427135678392,0.9039618664716402,1.0314070351758795,0.9154267136566587,1.0364321608040201,0.917984850272139,1.0841708542713568,0.968277049055731,1.0891959798994975,0.9678265122272597,1.1092964824120604,0.9927353774282822
2009,0.9409547738693468,0.955766921385605,0.9711055276381909,0.9663101232310024,0.9836683417085427,0.9833760923070177,0.9949748743718593,0.995575052370488,1.0263819095477387,1.0009090081725098,1.0314070351758795,1.0032744027412077
2010,1.9560301507537687,1.4121935545695483,1.9685929648241205,1.416974731189991,1.9773869346733668,1.4246672191474608,2.0527638190954773,1.469943703024155,2.099246231155779,1.4909199168343854,2.130653266331658,1.5132172649508373
2011,1.9321608040201006,1.2028983255690031,1.971105527638191,1.2133095376419527,1.9824120603015076,1.2150801763769243,2.0615577889447234,1.2539164649444368,2.1118090452261304,1.290043631934765,2.1846733668341707,1.3485855693394702
2012,3.341708542713568,1.8649549462182151,3.3680904522613067,1.855520235069263,3.3844221105527637,1.862697993923629,3.5163316582914574,1.9114970551249115,3.5728643216080402,1.9408789649050724,3.6834170854271355,2.0063487615230193
