ID,lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
US70,-75.593262,39.869833,755.2,49,147.8,147,45.5,5.6
US71,-75.330278,39.643889,37.5,9,33,35,8.5,1.5
US72,-75.785806,38.997194,292,4,16.9,17,2.6,0.1
US73,-77.115249,41.952574,1142.4,304,523.3,517,93.1,12.3
US74,-76.484665,41.70702,553.9,236,487.1,466,117.4,11.2
US75,-75.894642,41.55841,1016.9,189,403.6,396,82.6,10.3
US76,-75.744359,41.359246,863.1,184,469.2,493,118.2,9
US77,-76.619122,40.958142,29041.5,132,437.2,439,106.2,10.8
US78,-78.676973,40.897007,817.7,366,523.7,518,65.3,10.7
US79,-77.690819,41.389512,120,239,554.7,583,83.2,18.3
US80,-77.794168,40.889783,223.7,251,388.3,368,77.6,7.5
US81,-77.32414,41.273683,2452.4,206,545.2,551,106,18
US82,-77.032746,41.41841,452.7,212,525.8,543,106.4,16.5
US83,-76.996634,41.23619,14703.8,148,496.1,509,118.7,15.5
US84,-76.912464,41.325078,1129.5,180,509.3,522,103.7,13
US85,-78.140565,40.612567,572.5,230,477.2,440,143.8,13.8
US86,-76.34746,39.496497,6.5,55,102.6,105,13.2,2.8
US87,-76.693694,38.955917,906.6,8,116,124,55.3,3.6
US88,-79.178924,39.366766,107.2,562,818.5,822,83.1,9.8
US89,-78.821965,39.443149,570.8,198,406.2,367,148.8,14.6
US90,-78.654182,39.447039,3784.1,175,655.8,646,263.9,20.9
US91,-78.309731,39.582316,1748.5,150,484.1,469,157.7,15.6
US92,-77.824778,39.716389,1309.5,120,265.2,219,115.2,7.8
US93,-77.938608,39.42371,706.4,110,197.8,190,37.6,3.2
US94,-78.960307,38.48679,37.2,419,488,473,55.7,7.8
US95,-78.210834,38.914001,4230.5,139,500.9,449,194.3,12.7
US96,-78.336115,38.976776,1995.2,165,442.6,403,165.4,12.8
US97,-77.789161,39.282046,7872.9,89,439.5,410,197.6,12
US98,-77.332429,38.884695,14.2,94,122.7,123,11.9,3.2
US99,-77.338263,38.908889,7,83,119,119,12.9,3.4
US100,-77.17567,38.95978,5.4,55,83.8,85,9.5,2.7
US101,-76.964278,39.033139,34,55,121.7,122,21.2,3.7
US102,-76.925972,38.96025,188.1,7,65.9,53,37.6,3.2
US103,-77.228316,38.812891,60.7,61,105.4,107,15.9,3.1
US104,-77.431905,38.88239,10.9,78,111.4,111,14.4,2.1
US105,-77.056028,38.596139,143.7,13,54.8,60,13,1.4
US106,-77.428596,38.587343,19.3,74,104.6,106,11.4,3.3
US107,-77.425818,38.565121,15,70,104.2,105,16.2,3.3
US108,-77.974997,38.350408,1209.7,68,263.4,171,222.7,10.4
US109,-77.529153,38.308462,4135,24,202.3,148,173.7,8
US110,-77.427759,37.85014,1200.5,20,105.7,105,28.7,3.3
US111,-77.332202,37.767642,2796.3,15,100.7,99,32.8,3.1
US112,-77.163031,37.887916,1554.8,15,67,64,25.1,2.6
US113,-79.367255,37.555415,7976.2,182,614.1,589,203.1,18.4
US114,-78.085833,37.67098,16207.1,61,420.9,368,266.2,13.7
US115,-77.475263,37.225151,3482.5,22,119.2,112,40.9,3.6
US116,-77.060803,37.436258,646.9,5,48.1,46,20.2,1.8
US117,-77.533056,35.894444,5753.9,10,76.7,74,40.6,2
US118,-79.095556,36.071111,170.9,150,200,201,14.1,2.9
US119,-78.896667,36.149722,20.7,120,154.8,155,15.7,4.1
US120,-78.859722,36.113333,254.5,81,175,180,25.8,3.1
US121,-78.878889,36.182778,384.7,112,181.7,183,19.7,2.9
US122,-78.833333,36.131944,3.1,82,119.1,123,17,3.7
US123,-78.752222,35.718889,53.9,104,134.6,136,12.9,3.3
US124,-77.585556,35.257778,7021.5,10,88.1,80,51,2.1
US125,-77.5825,35.428889,1908.6,8,45.4,39,21.7,1
US126,-79.206111,35.987222,19.6,168,197.4,196,13.2,3.5
US127,-79.115,35.923611,21.5,138,175.3,174,16,3.4
US128,-78.920278,35.760278,31.1,74,108.1,107,15.2,2.5
US129,-80.974257,33.9896,154.5,42,87.3,84,21.3,3.3
US130,-81.601771,33.753477,40.4,105,159.7,162,20.8,3.8
US131,-80.699815,33.378769,61.6,38,50.4,51,3.7,0.1
US132,-80.391488,33.027946,7077.1,17,76.9,70,46.9,1.3
US133,-83.305993,34.813981,526.8,366,757.4,748,201.3,20.1
US134,-84.357981,33.678997,59.6,241,283.5,285,20.1,3.9
US135,-84.33048,33.688997,27.6,237,290.1,294,18.4,4.2
US136,-84.064081,33.579834,67.1,200,244.8,243,21.8,3.7
US137,-84.037688,33.925937,19.3,271,309.4,311,12.6,3.5
US138,-84.07908,33.853161,351.2,250,299.1,298,20.7,3.9
US139,-84.058248,33.772885,418.4,224,295.5,295,22.5,4
US140,-84.037969,33.778163,26.2,231,282.6,284,22,3.8
US141,-83.938056,33.666944,662.9,194,283.6,286,29.7,4.4
US142,-83.990188,33.815107,44.7,261,296.5,297,15.8,3.2
US143,-83.942408,33.821497,21.3,276,300.2,300,13.1,2
US144,-83.91444,33.71111,66.9,201,262,266,24.6,4.5
US145,-83.94833,33.94972,13.9,268,313.5,315,13.6,3.7
US146,-83.887958,33.917607,79.5,242,308.5,313,23.6,4.4
US147,-83.461006,32.280718,9790.7,72,186.1,182,65.5,3.5
US148,-82.674027,31.920183,13566.9,30,157.3,141,73.6,3
US149,-83.894068,34.010383,14.8,286,322.7,324,15.6,4
US150,-81.393406,27.374208,307.6,16,31.8,31,7.4,0.4
US151,-80.87256,27.36532,135.1,7,15.8,17,3.7,0
US152,-81.784527,27.052,540.7,8,19.1,19,3.9,0
US153,-82.211201,27.473651,174.3,16,32.7,33,4.6,0.2
US154,-82.117588,27.796695,281.4,17,37.2,37,7,0.3
US155,-82.011872,28.182603,22.4,34,46,46,6.3,0.3
US156,-82.232309,28.150013,618.7,11,32.1,30,10.2,0.5
US157,-82.312312,28.097516,985,9,28.4,28,10.8,0.4
US158,-82.6875,28.095833,80,3,11.7,12,3.8,0.1
US159,-82.055915,28.311952,649.6,25,35.8,36,4.5,0.1
US160,-82.152866,28.800265,940.1,12,23.1,23,6.3,0.6
US161,-82.560556,30.680556,3322.2,29,40.8,38,6.5,0
US162,-83.453611,30.793056,3863.7,28,81.5,79,21.8,1.1
US163,-84.069911,34.1326,24.4,288,329.8,329,21,5.6
US164,-84.079634,34.096489,13.1,298,324.5,323,14.6,3.8
US165,-84.089356,34.032323,122.1,278,333.2,334,21.4,4.4
US166,-84.264923,33.965101,23,268,303,304,14.8,3.9
US167,-84.443333,33.953889,79.5,270,317.9,318,19.6,4.1
US168,-84.342703,33.831493,91.3,249,294.3,294,16.7,4
US169,-84.340759,33.802883,71.6,255,301.4,303,16.8,3.7
US170,-84.407778,33.819444,221.7,244,292.1,293,19.8,4
US171,-84.378889,33.869167,68.1,249,298.3,300,17.2,4.1
US172,-84.439373,33.838438,96.5,232,291.3,294,21,4.4
US173,-84.474375,33.794273,35.1,242,285.7,286,19.9,4.2
US174,-84.821028,33.653806,172.2,258,333,335,23.9,5.4
US175,-84.900772,33.477058,6250.6,212,367.9,331,122.9,6.7
US176,-85.09994,33.27928,6918.4,208,358.7,326,121.3,6.5
US177,-85.22689,33.340672,43.2,281,349.5,346,31.8,6.1
US178,-84.987716,33.235397,323.4,196,241.5,241,21.2,4
US179,-84.043611,32.293056,7574.7,80,208.4,220,55.7,3.4
US180,-83.996389,32.033889,161.5,80,111.3,109,16.6,1.7
US181,-84.338889,31.306944,14899.4,36,157,143,70,2.5
US182,-84.579914,30.911577,19140.8,24,137.9,121,71.6,2.2
US183,-85.015469,29.949371,49802.3,1,154.8,121,116.4,3
US184,-84.508554,34.674975,611.6,374,589.4,554,138.3,15
US185,-84.53937,34.70314,160,411,579.9,531,139.2,16.4
US186,-84.928276,34.666749,1781.8,208,344.9,256,194.1,9.3
US187,-84.494673,34.239929,1589.4,264,428.2,396,118.9,9.3
US188,-84.595487,34.263428,146.5,273,369.2,360,54.1,9.1
US189,-84.504375,34.12232,361.9,262,314.9,315,24.3,4.9
US190,-85.279115,33.49289,633.6,280,332.2,329,24.6,3.5
US191,-86.806378,33.313445,66.1,136,200.4,190,48.3,8.6
US192,-87.139162,32.945124,2656.6,75,176.9,168,49.3,6
US193,-79.118932,41.824504,5747.1,354,575.1,584,77.7,14
US194,-79.133101,41.938115,2083.3,375,461.6,458,56.5,5
US195,-79.008367,40.939231,407.6,365,479.7,469,57,10
US196,-79.531434,40.820342,23225.2,238,489.5,477,85.6,9.5
US197,-79.390872,40.454512,3525.9,255,559.5,563,133.8,9.7
US198,-79.970615,39.759245,588.4,283,370.6,370,42.4,18.1
US199,-79.364202,39.805355,1122,412,743,764,99.9,10.6
US200,-79.806434,40.24007,4429.5,224,615.6,654,176,10.8
US201,-79.858104,40.39118,18994,218,560.9,503,235.2,14.4
US202,-80.460069,41.498109,420.2,299,331.9,330,21.3,1.1
US203,-80.376178,41.421999,241.7,302,371.5,380,39.6,3.4
US204,-80.47257,41.266167,1523.4,270,336.2,333,34,2.2
US205,-80.242284,40.817009,921.4,267,362.1,367,32.9,7.8
US206,-80.233673,40.883952,1043.4,264,397.8,396,28.9,5.5
US207,-80.315063,40.763398,8034.3,230,343.3,342,42.2,3.6
US208,-80.337563,40.627844,463.5,228,338.7,345,33.3,9.5
US209,-83.15733,39.84783,97,249,278.6,280,7.4,0.3
US210,-84.963284,38.438957,16007.6,139,327.4,303,92.7,14.9
US211,-87.745858,40.137258,1120.2,170,224.5,227,13.3,0.5
US212,-87.642799,40.265314,691.6,186,218.4,218,10.2,0.5
US213,-87.597242,40.10087,3341.4,156,216.4,216,14.3,0.5
US214,-88.022535,38.936433,3944.6,144,195.1,199,18.5,0.7
US215,-87.945588,39.010042,814.7,144,184.1,182,22.3,0.9
US216,-86.75334,39.816157,340.1,241,287.9,288,9,0.8
US217,-88.594218,39.103931,622,155,196.1,195,13.8,0.9
US218,-88.297266,38.63477,2928.7,124,168.3,169,21.3,0.7
US219,-88.583386,38.356993,1204.3,125,154.1,155,13.7,1.1
US220,-88.547269,37.472273,111.1,121,194.1,197,31,6.8
US221,-82.65043,36.20594,203.1,412,502.1,499,40.8,6.6
US222,-83.175304,36.126337,4373.1,327,712.5,624,321.8,16.8
US223,-86.446655,34.749257,968.6,194,262.8,253,45.2,3.1
US224,-92.418802,46.703276,8840.5,338,433.9,421,44,1
US225,-89.207086,46.720774,3494.2,207,424.6,419,69.3,2.9
US226,-87.201524,45.755523,1184.4,210,328.3,320,58.2,1.6
US227,-88.463179,45.76357,362.6,433,471.2,468,19.8,1.6
US228,-87.663446,45.325809,10155,195,407,434,95.3,2.5
US229,-86.259732,41.829214,9623.4,194,276.2,274,26.5,1
US230,-86.27869,43.945006,1769.2,183,271,264,40.3,2.4
US231,-83.433861,44.436404,4529.2,187,357.6,366,41.7,1.9
US232,-84.019994,44.07252,865,203,285.4,268,50,1.8
US233,-83.96303,43.4128,14327.2,178,241.6,235,40.3,0.7
US234,-83.026593,42.614478,802.8,184,295,297,28.2,1.7
US235,-82.90881,42.595867,1892.6,177,248.3,240,49.5,1
US236,-83.531046,41.960601,2686,188,251,246,36.2,1.1
US237,-84.266059,40.948662,858.4,221,270.9,268,26.3,0.5
US238,-83.712714,41.500053,16409.4,182,262.7,261,30.3,0.4
US239,-81.629848,41.395331,1837.5,182,329.6,336,37.2,2.6
US240,-78.935035,42.46395,1128.8,231,491.8,500,77.3,6.9
US241,-76.505219,43.451735,13209.4,84,256.6,224,127,4.2
US242,-76.074646,43.813398,325.4,160,330.4,326,82.6,3.6
US243,-75.924646,43.985616,4842.9,118,473.7,494,143.6,5.5
US244,-74.778801,44.863664,1595.1,66,408.1,459,137.5,5.4
US245,-96.795915,46.659685,10815,280,364.3,347,55.8,1
US246,-96.783692,46.861075,17195.9,266,357.7,342,57.3,0.8
US247,-99.949015,47.702778,1170.6,474,560.5,567,40.7,1.5
US248,-97.000643,46.631633,12965.7,284,455.1,453,59.9,1.2
US249,-97.061197,47.409424,3217.6,275,372.2,354,57.7,0.5
US250,-97.184521,48.078595,1375.6,248,337.4,338,66.5,0.6
US251,-97.368056,48.285833,1425.4,249,393.9,418,79.4,0.6
US252,-97.412023,48.424711,1741.7,250,390.4,388,90.9,0.7
US253,-101.570163,48.370569,2396.8,499,616.2,597,49.4,1.3
US254,-100.539862,48.138337,1509.8,461,509.6,494,41.8,1.2
US255,-100.442079,48.588888,3206.1,440,529.5,496,74.9,1.2
US256,-93.436621,45.163298,222.1,263,292.1,291,11.9,1.5
US257,-93.310227,45.049965,73,256,273.6,270,12.5,1.2
US258,-93.908563,43.996633,336,305,327.9,323,15.5,0.5
US259,-91.261799,42.739988,3858.2,198,337.1,345,36.9,3.7
US260,-92.2574,42.836091,897,304,359.1,356,26.8,1.1
US261,-90.534859,41.766974,6049,185,292.1,298,51.6,1.6
US262,-89.619561,42.302797,3435.4,228,297.9,297,33.4,4.8
US263,-89.069832,42.448627,15744.8,220,279.9,275,29.1,2.7
US264,-88.998713,42.194467,2847,213,264.5,265,18.5,0.8
US265,-89.25594,42.123081,19962.2,211,275.6,271,28.7,2.3
US266,-89.749832,41.782808,21937.9,188,272.5,268,29.9,2.3
US267,-90.182066,41.559756,23951.1,176,267.8,266,33.7,2.2
US268,-90.157619,41.488923,2575.7,182,216.8,210,27.9,1
US269,-93.152425,42.314984,580.5,289,349.7,351,13.8,0.8
US270,-91.182094,41.178086,32364.8,176,303.4,301,56.7,1.6
US271,-91.277094,40.75365,11165.4,162,257.8,247,42.8,2.1
US272,-91.959617,40.727806,36286.3,179,344.1,348,64.1,1.8
US273,-91.597875,40.392408,1027.6,157,231.6,227,31.9,2.6
US274,-91.580156,39.896628,1567,154,226.6,223,29.7,2.4
US275,-90.977536,39.008803,2407.4,144,221.6,226,24.1,2.1
US276,-87.668648,41.160033,5949.1,187,221.5,217,19.4,0.4
US277,-87.581419,40.822813,1746.3,191,209,207,9.4,0.2
US278,-87.723918,40.630036,1158.8,191,217,214,14,0.3
US279,-87.823372,41.008922,5405.6,188,207.5,204,12.4,0.2
US280,-88.186449,41.346698,13289.2,159,212.5,208,18.3,0.4
US281,-87.900616,41.825864,290.6,195,221.5,219,14.1,0.9
US282,-87.607822,41.568368,268.3,185,208.2,211,16,0.7
US283,-88.0825,41.53639,2925.8,166,208.5,207,19.9,0.8
US284,-88.163611,41.725833,24.7,199,211.3,212,3.3,0.5
US285,-88.192562,41.522253,838.9,178,215.7,219,17.8,0.8
US286,-88.347566,41.417253,445.1,160,191.6,188,16.4,0.4
US287,-88.359787,41.286143,1165.6,168,195,194,14.5,0.2
US288,-88.333333,41.733611,4445.6,185,257.8,256,23.5,1.7
US289,-88.441462,41.671696,182.2,188,219.1,216,17.4,0.8
US290,-88.930912,41.208368,3253.5,166,207.9,206,13.4,0.3
US291,-89.498427,41.36587,505.1,171,247.4,250,25.7,0.9
US292,-88.322275,40.310589,561,216,236.8,232,16.1,0.5
US293,-88.588954,40.030867,1426.5,196,226.2,222,14.9,0.5
US294,-89.253889,39.5525,718.2,176,195.7,193,10.6,0.4
US295,-89.383706,39.951435,552.1,174,192.3,188,12.9,0.4
US296,-89.129253,40.254761,591.5,195,235.4,234,17.6,0.8
US297,-89.403431,40.222265,861.5,170,214.8,210,21.2,0.8
US298,-88.413384,39.583367,1227.6,189,207.4,206,7.4,0.2
US299,-88.781457,39.407262,2742.2,169,205.9,205,8.3,0.3
US300,-88.841732,39.229764,3451.5,158,202.7,204,11.4,0.5
US301,-89.088955,38.960601,5020.7,152,196.5,201,15.8,0.8
US302,-89.236739,38.922546,394.2,144,179.3,179,15.2,1.2
US303,-89.100065,38.688937,292.2,151,172.1,174,8.9,0.9
US304,-111.42052,46.14604,38074.7,1194,2046.9,2048,441.9,16.6
US305,-108.223986,43.129125,11522.4,1470,2340.1,2231,610.4,16.3
US306,-108.178986,43.424958,19954.9,1431,2110.5,1889,557.6,11.8
US307,-108.036212,44.383291,34255.4,1171,1955.6,1783,553.8,11.5
US308,-108.181497,44.758566,40824.9,1120,1953.9,1777,574.2,12
US309,-108.435119,44.838564,6192,1192,2184.5,2160,641.6,25
US310,-106.990342,45.361089,319.8,1143,1373.9,1376,79.9,11.7
US311,-107.020905,44.900249,1242.6,1112,2012.5,2256,652,14.8
US312,-106.961735,44.823583,1016.8,1130,1955.4,1755,669.6,15.3
US313,-106.881178,44.842195,226.7,1126,1338,1334,116,9.4
US314,-106.839789,44.983863,933.7,1060,1286.7,1298,101.2,10.4
US315,-106.836178,45.008863,3763,1046,1704,1358,625.6,13
US316,-106.771449,45.141367,4617.1,1025,1610.7,1318,596,12.2
US317,-106.457808,45.41166,6818.9,931,1467.2,1247,535.1,11.2
US318,-106.255292,45.583889,1839.4,890,1130.7,1151,90.4,8.5
US319,-105.690549,46.228336,1801.8,766,981.9,966,117.1,6.2
US320,-105.84528,46.384725,13997.2,720,1228.5,1146,452.3,9.2
US321,-106.30725,43.69553,7990,1335,1790.2,1702,302.9,8
US322,-106.139191,44.144424,11111.9,1230,1689.6,1613,306.9,7.1
US323,-106.177808,44.491091,2426,1152,1634.3,1445,429.5,8.5
US324,-106.127528,44.649982,15343.2,1112,1636.7,1543,335.1,7.5
US325,-106.031967,44.632482,647.6,1142,1355.6,1364,80.2,7.5
US326,-106.082802,44.871652,2985.4,1082,1705.1,1402,619,12.5
US327,-105.878067,45.057765,20793.5,1026,1599.7,1481,396,8.2
US328,-105.353327,44.926929,3204,1037,1247.8,1251,80.9,5.9
US329,-105.309983,46.430004,33847.4,752,1390.4,1322,418,7.3
US330,-102.768526,47.787237,191.5,614,707.5,708,30.5,5.3
US331,-100.974579,46.833883,8583.9,508,714.1,708,72.6,2.9
US332,-105.045807,43.429137,3981.1,1320,1558.6,1549,112.1,3.9
US333,-104.131602,43.421084,13799.3,1095,1427.9,1426,141.4,3.9
US334,-105.388325,43.984421,1279.4,1391,1520.1,1517,56.6,3.3
US335,-104.940531,44.321926,4378.5,1251,1437.1,1435,80.3,4.1
US336,-103.629361,44.442207,146.6,1122,1630.7,1658,191.3,18.7
US337,-103.481579,44.617763,263.7,868,1360.6,1361,340,12.8
US338,-95.972788,41.964432,9120.5,315,423.5,426,31.3,2
US339,-95.782786,41.64249,2252.1,316,402,408,29.1,4.1
US340,-107.057546,41.872181,11176.6,1962,2491.8,2482,327.8,10.1
US341,-106.513083,42.009684,6060.9,1958,2223.4,2157,228.2,5.1
US342,-106.69254,42.574129,28307.5,1621,2283.3,2183,318.4,7.9
US343,-105.159143,42.652496,39195.6,1415,2153.3,2121,369.3,7.6
US344,-104.999982,39.742487,1063.2,1589,1984.3,1977,179.2,4.4
US345,-105.003315,39.759709,10012.2,1579,2604,2681,523.5,14.5
US346,-105.513887,40.378317,355.4,2286,3084,3099,416.7,35.4
US347,-105.485553,40.376373,419,2272,3004.4,2986,439.1,33.2
US348,-105.061091,40.378595,1386.1,1497,2468.7,2434,594.1,25.4
US349,-105.252205,40.787482,1399.3,1766,2384.5,2382,301.9,12.4
US350,-105.0697,40.589149,2920.8,1509,2511.2,2451,482.4,17.7
US351,-104.563292,40.412203,25015.6,1395,2302.3,2268,635.2,13.3
US352,-96.540783,41.560397,953.9,374,465.1,468,34.4,3.2
US353,-96.283772,41.293331,17988.7,340,537.2,521,104.1,1.8
US354,-95.625826,40.632501,7281.8,276,376,379,41.2,3.6
US355,-95.069556,40.202464,3927.9,263,357.5,361,36.8,3.5
US356,-94.726819,39.400972,6178.8,240,324.4,318,38.5,3
US357,-94.817222,39.029167,150.5,230,294.3,300,21.2,3.6
US358,-94.607778,38.938333,167.5,250,300.2,301,18.4,2.7
US359,-94.300504,39.100561,480.4,225,282.8,285,24.7,3.6
US360,-93.436222,40.026611,954.2,226,294,298,27.4,3.5
US361,-92.79075,39.539942,4899.5,196,284.7,291,33.2,3.4
US362,-92.568497,39.454914,565,202,255.1,256,22.7,2.7
US363,-94.145417,38.055861,14338.5,225,295.5,295,39.3,2
US364,-93.370333,37.682653,712.6,292,360.8,357,38.2,3.7
US365,-92.20825,38.421444,37907.9,162,288.8,284,45.6,3.2
US366,-91.204584,37.974768,663.8,206,319.2,319,47.2,6.9
US367,-91.108458,38.158531,3845.5,197,320,323,49.1,6
US368,-90.706042,38.159614,1909.5,162,280.5,277,47.5,5.9
US369,-90.47386,37.3845,1712.4,148,287.9,284,54.9,7.1
US370,-90.50651,37.26116,491.9,126,257.9,250,66.7,9.4
US371,-90.878449,35.144534,1390.7,61,76.9,73,13.2,0.5
US372,-94.08326,36.05397,317.6,354,484.2,478,77.4,10.5
US373,-94.081313,36.073134,1033,354,513.6,511,91,13.7
US374,-94.01187,36.10591,1063.6,343,510.4,507,92.5,13.5
US375,-94.0075,36.10417,361.5,347,484.4,483,72.1,11.4
US376,-93.855195,36.200075,690.2,361,490.6,478,69,10.5
US377,-93.623192,36.425992,1367.2,302,483.2,464,91.5,12.5
US378,-93.364667,37.006583,1202.1,321,414.5,409,38.8,3.4
US379,-93.327889,36.974889,669.8,315,428.1,429,42.5,4.6
US380,-93.461575,36.805392,2568.9,283,409.1,404,42.2,4.2
US381,-93.618526,36.750618,711.4,298,417,427,36.9,6
US382,-93.35611,36.45444,136.1,304,394.5,395,35.8,5.5
US383,-93.405,35.938889,153,359,608.8,623,73.9,17.2
US384,-92.248125,36.623033,1456.4,188,327,327,43.8,6.3
US385,-92.238489,36.249234,4684,166,296.4,298,61,7.3
US386,-92.143209,36.116181,25801.9,108,363.1,356,104.2,9.6
US387,-92.212655,35.995351,150,169,289.1,294,44.1,13.7
US388,-90.764009,37.325049,1281.7,178,328.8,332,58.3,10.8
US389,-90.847623,36.622003,5318.6,107,297.3,307,74.3,8.2
US390,-90.575393,36.631724,502.8,95,171.5,175,37.1,4.2
US391,-91.200819,36.648681,2023.8,128,289.9,290,52.7,5.5
US392,-91.997371,35.517301,2976.5,100,323.3,328,106.4,11.7
US393,-91.1104,35.252032,1079.2,62,79.9,71,19.2,0.5
US394,-105.016096,38.388334,10246.7,1535,2747.7,2722,532.9,20.9
US395,-104.718033,38.271669,11952.3,1445,2637,2647,600.1,19.5
US396,-104.606085,38.253614,12259.3,1416,2610,2627,616.2,19.1
US397,-104.878031,38.854714,264.2,1873,2775.2,2790,413.6,26.9
US398,-104.848313,39.031104,213,2029,2459.4,2493,280.4,12.7
US399,-104.817199,38.933882,466,1907,2352.6,2231,293.6,10.8
US400,-104.810254,38.928048,51.4,1925,2106.4,2098,85.1,4.1
US401,-104.818588,38.917771,529.2,1903,2323.8,2208,290,10.3
US402,-104.829419,38.837215,613.5,1822,2279.5,2174,297.1,10.1
US403,-104.822752,38.816382,1017.9,1799,2430.9,2289,415.9,16.8
US404,-104.795807,38.803049,1072,1779,2402.7,2261,423.6,16.2
US405,-104.733861,38.72944,1316.8,1719,2320.1,2175,424.5,14.1
US406,-104.67025,38.601665,1768.5,1634,2211.5,2079,435,12.5
US407,-104.593583,38.439722,2194.8,1517,2111.3,1981,442.4,10.7
US408,-104.601085,38.28778,2404.4,1436,2062,1932,452,10
