ID,lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
US1,-70.979644,44.390444,181,230,622.9,596,224.9,22.3
US2,-71.562563,41.996487,237.2,63,150.6,151,33.3,4
US3,-71.381445,41.888711,1247.5,19,137.9,133,56.6,4.6
US4,-71.833125,41.383711,765.8,4,69.1,58,40.9,3.7
US5,-72.04508,41.56843,1330.1,15,173.3,175,63.5,5.9
US6,-71.955629,42.022319,392,106,230.3,227,42,6.7
US7,-71.90035,41.97815,262.3,121,206.6,203,50.8,4.8
US8,-71.984242,41.597876,1838.7,40,164.4,161,63.9,5.1
US9,-72.121467,41.558709,230.7,39,124,127,32.1,4.9
US10,-72.670648,42.703417,107,144,410.9,428,108.6,13.6
US11,-72.605367,41.987319,25049.5,11,384.4,367,184.3,11.6
US12,-72.55,41.913889,38.1,21,93.9,77,49.7,4.2
US13,-72.964826,41.786209,10.6,217,279.8,277,26.3,4.2
US14,-72.886768,41.755933,977.8,81,338.8,350,109.1,9
US15,-72.760651,41.908431,1493,70,271.6,274,136.8,7.9
US16,-72.587311,41.783155,190.7,17,136.4,127,67.2,5.1
US17,-72.449253,41.552321,271.3,22,147.4,148,38.2,6
US18,-72.531201,41.305933,14.8,17,71.3,69,28.5,4.1
US19,-72.840934,41.449542,285.7,6,91.6,71,57.5,5.3
US20,-73.333449,42.074814,1210.6,197,388.9,364,118,9.9
US21,-73.403176,41.466206,155.1,92,166.4,160,46.2,6.9
US22,-73.167612,41.383985,3998.6,20,295.2,284,127.1,9.8
US23,-73.062608,41.442319,674.4,39,237.8,231,81.5,8
US24,-73.219002,41.179819,26,9,77,71,40.5,3.4
US25,-73.305949,41.152874,19.2,23,69.7,72,23.7,3.4
US26,-73.39512,41.29454,53.8,93,174.5,172,35.3,8.1
US27,-72.906215,40.830376,190.2,11,36.1,36,10.4,1.1
US28,-74.602919,42.876184,154.8,199,313,290,85.2,6.5
US29,-73.85679,42.78369,40.6,88,104.5,103,11,1.3
US30,-74.549049,41.260095,365,116,223.6,207,75,7.8
US31,-73.989167,40.999167,146.5,8,64.7,55,40.1,4.7
US32,-74.347222,40.845,180,50,121.9,105,61.5,4.4
US33,-74.401111,41.018333,164.1,173,317.2,318,52.5,8.4
US34,-74.162778,41.098056,318.8,78,228.6,231,74.1,10.8
US35,-74.226111,40.884722,1982,39,183,172,96.9,7.4
US36,-74.080556,40.890278,146.5,13,79.7,87,49.3,3.1
US37,-74.311667,40.6875,67.1,25,87,77,47.5,5.1
US38,-74.283333,40.618889,107.9,7,66.8,48,47.2,3.8
US39,-74.968889,40.6475,30.4,85,178.6,175,54.3,7
US40,-74.827778,40.473333,66,30,82.1,66,36.5,3.3
US41,-74.575833,40.475,670.4,11,47.8,36,30.1,1.9
US42,-74.507778,40.585,125.6,9,52.4,31,42.2,3.5
US43,-74.065833,40.203333,16.3,6,30.9,32,7.3,1.5
US44,-74.154722,40.161389,114.1,7,34.3,33,9.6,1
US45,-74.441389,39.623056,35.3,2,15.1,14,7.9,0.7
US46,-75.076944,39.495556,270.2,14,34.1,35,6.7,0.4
US47,-75.255556,39.4725,82,8,30.3,31,6.6,1
US48,-75.037675,41.088151,305.9,130,387,393,70.8,6
US49,-74.952222,41.106667,167.7,109,274.4,275,84.3,9.4
US50,-75.142679,40.998706,677.6,114,344.7,325,128,7.6
US51,-74.953333,40.980833,326.4,102,213.9,201,54.2,6.6
US52,-75.625467,41.130363,240.2,451,555.9,557,42.9,3.9
US53,-75.605467,41.084808,308.1,464,564.3,564,35.6,2.8
US54,-75.236288,40.669266,3519,61,335,298,168.1,7.4
US55,-74.778056,40.221667,17579.8,0,382.1,392,183.5,10
US56,-75.119616,40.229275,72.3,61,99,99,16.7,2.1
US57,-74.956834,40.173998,541.4,19,92.3,91,32.6,3.1
US58,-74.505278,39.885,5.4,35,43.7,44,4.8,0.6
US59,-75.021389,39.903056,47,9,25.5,24,9.3,1.4
US60,-75.998268,40.522593,924.7,110,310.2,293,105.2,11.6
US61,-75.979102,40.368982,557.1,74,160.1,147,64.1,5.9
US62,-75.651575,40.241763,2971.8,38,207.9,176,106.8,8.5
US63,-75.601305,40.151491,152.3,50,160.4,164,46,7.3
US64,-75.206846,40.01539,165,12,85.9,86,23.7,3.6
US65,-75.259167,39.740556,67.4,3,30.8,31,9.4,1.5
US66,-75.770833,39.7475,153.4,35,118.5,119,27.2,4.7
US67,-75.691601,39.816777,71.5,79,112.2,113,19.1,4.1
US68,-75.801334,39.961773,143.5,81,191.9,195,39,5.3
US69,-75.673272,39.968719,232.2,64,156.5,159,38,5.5
