ID,lon_deg,lat_deg,area_km2,elev_gage,elev_mean,elev_median,elev_std,slope_mean_pct
CE114,16.2043696,46.9905152,1956.3,224,606,459,316,12.8
CE115,16.4130129,47.2054431,664.1,238,469,403,205,9.8
CE116,16.1860989,47.137058,89.2,237,338,337,47,7.1
CE117,16.3233916,47.0616275,316.4,210,300,298,47,7.9
CE118,16.4211,47.0332849,400.4,200,291,288,48,7.6
CE119,16.4991216,47.4103892,265.3,285,554,555,123,13.7
CE120,13.7879641,47.1268521,366.9,1010,1751,1774,404,34.4
CE121,13.7065363,47.1749754,77.1,1097,1822,1869,330,37.2
CE122,13.8029239,47.1348892,377.9,1019,1733,1759,394,34.7
CE123,13.8816184,47.0695998,955,933,1698,1698,387,32.2
CE124,14.5405764,47.2099272,2367.5,700,1554,1530,397,29.4
CE125,14.7528344,47.1850542,2957.5,646,1513,1493,401,29.1
CE126,15.4721266,47.5257538,727.7,570,1094,1075,252,26.6
CE127,15.2814887,47.4099671,6214,468,1302,1254,423,28.2
CE128,15.4328339,47.0784175,6993.3,341,1247,1201,438,28
CE129,15.4929018,46.9020629,7295.5,291,1212,1177,462,27.1
CE130,15.1492617,47.0473286,210.5,391,915,877,317,25.8
CE131,15.3458391,46.9554693,756.2,319,818,769,348,18.7
CE132,15.5273103,46.7796629,1102.5,263,590,410,351,14.3
CE133,12.3729515,46.7413242,162.1,1108,1839,1801,421,36.6
CE134,12.7597255,46.8178842,668,680,1849,1865,456,37.7
CE135,12.511589,46.9175626,268.6,1096,2235,2280,426,39.2
CE136,12.7662133,46.8316904,1198.7,667,2146,2223,560,39.7
CE137,13.3489359,46.8255079,2561.4,555,1875,1921,615,37.5
CE138,13.4963005,46.8075031,1035.5,556,1657,1678,528,32
CE139,13.5235139,46.7743726,4789.6,523,1816,1850,608,36.4
CE140,13.6152922,46.5816026,908.5,546,1341,1358,472,33.4
CE141,13.6479194,46.5368557,188,593,1248,1196,352,38.9
CE142,13.8147749,46.569322,1304.9,499,1255,1241,466,32.7
CE143,14.4402182,46.9001661,469.4,602,1155,1120,282,23.1
CE144,14.4497144,46.86032,1061,579,1191,1131,336,23.5
CE145,14.1897545,46.7215456,87.2,500,783,781,167,16.9
CE146,14.3779009,46.7632152,380.7,463,798,799,205,17.4
CE147,14.4011742,46.6061303,817.9,410,675,615,199,13.9
CE148,14.4780071,46.6060212,2555.4,394,963,914,387,19.1
CE149,14.9400179,46.640618,11051.8,338,1349,1248,657,29
CE150,14.8663664,46.8852801,380.2,512,1209,1186,294,20.9
CE151,14.8360089,46.7838943,715.6,410,1135,1133,366,20.9
CE152,14.9449144,46.6629706,954.5,354,1029,1030,405,20.1
CE153,10.4987139,48.5681764,11378.7,415,698,655,220,8.1
CE154,10.8015112,48.7108846,15131,395,646,603,212,7.4
CE155,11.4260568,48.7574022,20252.1,360,713,621,339,9.3
CE156,11.8646428,48.9164691,23031,337,679,589,330,8.7
CE157,12.7472253,48.8797573,37774.7,308,608,527,282,8.1
CE158,13.1151668,48.676623,47517.8,300,628,532,312,8.8
CE159,10.3168572,47.7304145,955.3,656,1182,1087,397,24.6
CE160,9.9876958,48.3708953,2064.2,468,888,741,371,14
CE161,10.3804234,48.4855989,951.9,430,595,579,93,5.4
CE162,10.6923901,48.7832413,1569.5,401,475,470,44,5.2
CE163,10.9458828,48.3166116,2347.3,492,1215,1062,550,23.8
CE164,10.6518051,48.0632769,666.4,591,832,804,153,7.8
