year,us57,us198,us201,us222,us231,us234,us239,us243,us244,us297,us320,us322,us330,us331,us333,us337,us339,us342,us345,us351,us358,us365,us369,us370,us372,us373,us389,us437,us453,us474,us501,us515,us518,us526,us529,us535,us539,us540,us547,us550,us560,us568,us577,us578,us588,us593,us594,us651,us653,us658,us660,us668,us670,us686,us694,us701,us702,us706,us714,us724,us729,us733,us734,us745,us756,us760,us764,us770,us775,us776,us778,us799,us833,us853,us855,us859,us865,us866,us879,us881,us891,us892,us893,us894,us904,us945,us997,us1005,us1019,us1025,us1029,us1037,us1042,us1049,us1059,us1064,us1072,us1102,us1103,us1105,us1112,us1113,us1122,us1126,us1128,us1129,us1130,us1147,us1148,us1157,us1162,us1168,us1190,us1207,us1216,us1217,us1286,us1291,us1295,us1296,us1297,us1300,us1314,us1323,us1326,us1347,us1354,us1356,us1568,us1573,us1581,us1582,us1585,us1640,us1641,us1643,us1646,us1647,us1648,us1649,us1651,us1652,us1653,us1655,us1658,us1659,us1668,us1670,us1680,us1789,us1792,us1829,us1842,us1857,us1863,us1867,us1870,us1883,us1897,us1907,us1915,us1924,us1971,us1973,us1975,us1977,us1985,us1989,us1990,us1991,us1992,us1993,us1995,us2002,us2005,us2006,us2007,us2008,us2040,us2042,us2049,us2057,us2066,us2115,us2116,us2127,us2145,us2146,us2148,us2184,us2207,us2210,us2346,us2349,us2374,us2377,us2387,us2426,us2437,us2445,us2449,us2471,us2472,us2475,us2477,us2479,us2480,us2481,us2665,us2800,us2922,us2926,us2927,us2945,us2946,us2991,us3038,us3039,us3041,us3045,us3141,us3145,us3250,us3308,us3326,us3352,us3363,us3374,us3451,us3501,us3536,us3544,us3568,us3582,us3589,us3608,us3627,us3636,us3659,us3670,us3726,us3728,us3735,us3746,us3801,us3806,us3807,us3818,us3834,us3845,us3848,us3853,us3861,us3863,us3864,us3901,us3903,us3924,us4008,us4021,us4024,us4057,us4062,us4068,us4070,us4071,us4073,us4074,us4079,us4114,us4131,us4168,us4170,us4178,us4200,us4212,us4219,us4220,us4221,us4223,us4237,us4254,us4260,us4270,us4271,us4272,us4273,us4285,us4287,us4290,us4292,us4312,us4314,us4317,us4322,us4324,us4327,us4345,us4349,us4351,us4353,us4355,us4356,us4414,us4513,us4520,us4531,us4538,us4546,us4555,us4562,us4567,us4569,us4570,us4571,us4572,us4574,us4575,us4577,us4578,us4586,us4587,us4590,us4591,us4592,us4600,us4601,us4602,us4603,us4608,us4639,us4661,us4663,us4700,us4703,us4720,us4722,us4833,us4836,us4853,us4856,us4859,us4868,us4923,us4924,us4948,us4949,us4951,us4957,us4959,us4962,us5010,us5011,us5035,us5046,us5056,us5173,us5178,us5190,us5204,us5213,us5217,us5250,us5260,us5273,us5315,us5316,us5324,us5368,us5369,us5381,us5386,us5387,us5388,us5389,us5390,us5392,us5399,us5400,us5401,us5402,us5403,us5408,us5415,us5417,us5418,us5419,us5425,us5440,us5441,us5446,us5455,us5459,us5479,us5484,us5486,us5488,us5492,us5495,us5497,us5498,us5500,us5503,us5504,us5506,us5510,us5511,us5512,us5514,us5524,us5536,us5553,us5554,us5558,us5646,us5648,us5649,us5650,us5651,us5652,us5653,us5654,us5657,us5658,us5659,us5660,us5661,us5665,us5666,us5668,us5669,us5671,us5672,us5673,us5674,us5675,us5676,us5695,us5699,us5700,us5702,us5722,us5725,us5726,us5727,us5735,us5736,us5737,us5739,us5744,us5765,us5766,us5796,us5798,us5837,us5838,us5839,us5840,us5841,us5842,us5843,us5844,us5847,us5880,us5902,us5952,us5955,us5964,us5965,us6009,us6012,us6050,us6077,us6087,us6091,us6098,us6099,us6113,us6122,us6124,us6128,us6147,us6155,us6340,us6342,us6379,us6390,us6401,us6403,us6416,us6494,us6559,us6598,us6604,us6606,us6620,us6636,us6643,us6659,us6678,us6681,us6687,us6691,us6696,us6697,us6698,us6699,us6702,us6729,us6731,us6767,us6769,us6776,us6791,us6798,us6810,us6812,us6818,us6820,us6860,us6862,us6865,us6867,us6869,us6871,us6872,us6875,us6876,us6877,us6923,us6928,us6937,us6943,us6946,us6949,us6998,us6999,us7016,us7028,us7053,us7101,us7107,us7113,us7121,us7125,us7126,us7204,us7230,us7232,us7233,us7370,us7403,us7405,us7406,us7408,us7409,us7411,us7446,us7560,us7685,us7833,us7844,us8236,us8312,us8531,us8570,us8577,us8595,us8645,us8647,us8869,us8924,us8928,us8929,us8930,us8931,us8933,us8947,us9062,us9066,la4,la9,la13,la19,la32,la35,la39,la40,la42,la51,la57,la63,la65,la66,la71,la72,la74,la77,la82,la84,la91,la95,la96,la103,la105,la108,la117,la126,la128,la129,la130,la131,la133,la135,la137,la142,la147,la149,la152,la154,la162,la167,la179,la182,la184,la204,la206,la207,la211,la218,la224,la225,la227,la228,la231,la233,la234,la236,la237,la239,la243,la248,la250,la251,la252,la253,la254,la263,la264,la280,la281,la287,la291,la293,la297,la300,la307,la311,la317,la320,la323,la332,la333,la336,la339,la343,la351,la358,la359,la360,la364,la368,la370,la371,la372,la378,la383,la384,la389,la393,la399,la403,la404,la407,la412,la423,la426,la434,la440,la444,la446,la452,la454,la456,la463,la465,la467,la468,la470,la474,la476,la479,la481,la484,la487,la494,la499,la503,la504,la505,la507,la519,la524,la527,la534,la537,la541,la557,la558,la569,la570,la571,la581,la582,la588,la590,la597,la598,la602,la605,la607,la609,la611,la612,la613,la614,la616,la617,la619,la620,la629,la632,la638,la643,la649,la656,la658,la663,la664,la666,la669,la674,la681,la684,la686,la688,la689,la690,la691,la693,la697,la698,la701,la702,la703,la708,la710,la711,la713,la714,la716,la721,la723,la728,la730,la736,la737,la738,la739,la744,la748,la755,la757,la761,la764,la766,la780,la787,la788,la789,la791,la792,la816,la821,la853,la857,STDEVP,MEAN
1981,30,19,13,6,18,17,12,18,8,10,27,6,14,17,20,10,6,0,14,21,7,11,13,7,5,7,13,13,9,24,0,14,11,14,16,7,0,0,0,0,6,0,0,6,0,7,7,19,6,11,14,13,14,15,21,5,11,9,6,8,0,7,12,12,7,12,12,6,6,11,8,5,5,5,20,21,19,0,0,5,5,5,6,6,5,6,12,0,0,0,0,8,5,0,0,0,0,6,6,6,6,5,5,0,5,11,6,0,10,5,6,5,0,6,5,5,5,6,5,0,5,10,6,5,5,5,5,10,13,0,13,17,0,22,8,0,0,7,12,0,15,0,0,0,6,7,27,33,0,1,12,10,4,8,6,6,0,17,22,42,21,34,0,0,0,6,6,12,10,12,7,11,8,16,25,25,11,36,31,33,33,32,28,0,0,7,0,0,11,17,13,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,5,5,0,0,0,0,5,5,7,0,0,0,5,0,14,5,14,5,6,0,6,0,0,7,31,13,34,30,38,41,15,24,16,22,11,15,26,10,31,24,11,22,5,0,0,12,7,13,7,7,7,12,27,0,8,29,8,8,5,6,5,5,0,0,5,5,12,5,10,5,5,0,10,5,5,5,5,5,5,10,5,10,13,13,10,7,7,15,15,15,32,32,24,21,15,15,23,22,24,14,19,16,19,16,44,34,33,25,20,19,25,26,16,19,28,24,19,25,24,23,23,25,29,30,28,46,35,19,30,9,18,9,20,22,24,30,27,30,26,15,10,5,11,5,13,23,33,12,38,5,5,10,0,5,20,6,10,10,5,12,17,18,18,19,20,20,11,17,6,31,6,10,10,10,6,7,10,16,42,17,15,22,16,15,17,17,17,10,18,14,14,14,18,15,20,18,19,11,19,15,29,26,34,13,24,20,11,16,17,5,12,10,11,11,12,15,11,15,12,6,6,18,26,25,19,21,20,20,19,6,6,11,6,17,6,6,19,27,0,0,0,0,0,0,0,0,0,12,13,23,6,17,24,13,16,12,5,6,5,6,0,5,13,6,13,0,11,16,11,6,0,0,6,0,15,31,15,22,13,39,30,39,24,5,7,15,25,6,6,11,6,22,18,14,20,25,25,0,28,31,36,23,40,30,16,16,19,25,24,24,25,15,15,30,22,11,9,9,40,18,18,18,42,11,14,11,6,16,16,36,6,5,10,19,0,31,28,21,34,10,36,11,23,26,14,13,6,23,17,7,5,13,0,6,5,14,19,21,22,5,7,22,18,10,14,19,14,5,5,13,7,0,5,17,22,23,10,23,16,13,17,23,17,17,0,0,23,0,0,0,5,13,16,6,5,0,0,0,0,0,0,0,17,17,16,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,18,0,5,0,0,0,18,5,0,0,5,0,0,0,18,0,0,0,0,5,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,5,5,0,0,0,0,0,0,0,24,29,17,17,18,10,17,10,9,10,0,5,0,0,0,0,10,0,0,0,17,18,18,18,17,17,7,17,18,22,18,10,23,8,16,14,14,14,18,23,17,6,6,10,10,14,17,6,17,23,23,18,23,17,20,20,20,18,10,7,0,0,0,17,17,18,19,17,19,19,23,19,19,19,19,19,19,18,22,19,23,23,0,6,9.841249173,11.27512563
1982,10,6,12,8,6,11,11,7,6,10,11,17,11,11,11,17,6,7,6,11,11,0,7,12,6,10,12,7,7,10,15,16,5,10,11,11,11,11,6,5,6,11,10,11,6,12,10,11,11,10,16,11,17,16,6,5,11,5,5,16,15,17,11,5,12,10,10,10,15,16,12,11,6,10,11,6,6,11,6,11,6,5,12,10,11,6,11,15,22,22,22,15,12,12,21,22,21,11,11,10,11,11,11,12,7,7,7,18,22,7,8,7,24,23,7,11,7,11,11,7,11,12,12,14,8,11,6,7,8,7,14,15,11,10,5,16,15,10,15,15,15,10,15,15,15,15,17,20,15,35,43,47,38,40,29,31,32,30,41,31,19,21,15,15,15,10,5,15,10,10,10,5,11,17,0,0,14,20,19,17,22,23,21,10,15,6,6,15,15,16,13,19,6,12,11,6,17,25,13,22,31,12,11,14,17,6,21,17,25,24,19,22,18,22,22,18,12,22,20,27,15,19,15,0,0,0,0,0,27,20,6,21,22,21,20,28,21,26,21,12,6,5,17,16,6,6,5,0,17,5,5,0,0,5,5,0,0,0,6,0,5,11,17,21,17,17,18,20,5,0,5,0,5,0,6,25,22,21,22,24,21,22,17,21,22,21,12,19,21,11,21,12,12,13,13,13,13,12,12,12,13,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,12,0,12,14,13,20,12,18,10,15,10,5,10,5,10,11,10,5,11,6,5,0,0,17,12,17,12,12,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,10,10,11,11,5,5,5,5,10,11,15,5,15,15,5,0,5,15,5,5,0,0,0,0,0,0,0,0,12,12,17,16,11,17,17,18,18,5,5,0,5,0,0,0,0,0,6,7,15,17,18,12,16,9,7,14,12,6,15,13,12,8,9,11,9,8,18,9,9,9,9,9,27,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,5,12,5,0,0,0,0,0,0,9,0,5,0,0,5,0,0,0,9,9,10,8,8,9,7,5,0,9,7,10,0,9,0,0,8,9,20,13,7,7,9,7,7,7,8,0,6,15,0,0,0,7,7,7,7,7,5,10,12,7,18,6,11,0,7,8,8,18,0,16,7,18,0,0,19,0,0,0,5,0,0,6,9,6,0,14,7,0,16,16,14,14,8,7,13,13,10,13,21,13,14,17,16,14,22,5,0,0,5,0,0,0,23,5,13,5,16,15,26,8,8,6,0,19,19,0,5,0,0,5,0,13,10,0,5,0,0,0,0,0,0,0,0,10,14,9,9,5,0,0,0,0,8,8,5,0,6,0,0,0,0,0,0,0,5,5,12,5,5,5,21,22,16,15,27,25,8,7,18,18,8,7,16,17,17,16,16,16,18,15,15,0,7,13,13,13,8,0,15,6,15,17,14,17,9,9,9,9,6,17,7,7,8,17,21,21,12,18,16,19,15,12,16,17,16,16,18,16,10,15,0,7,15,16,7.895896845,8.836683417
1983,11,10,9,9,9,16,16,11,15,10,19,0,0,19,9,0,0,0,0,7,0,9,8,0,0,0,0,6,6,14,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,14,20,0,6,5,0,8,0,9,0,0,0,0,0,0,0,5,0,0,19,23,13,16,28,12,6,5,16,18,27,17,11,0,0,11,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,9,0,0,15,21,26,19,22,5,6,18,21,14,15,20,17,5,26,27,20,5,5,5,5,6,6,5,6,5,6,5,6,5,12,5,5,0,8,0,0,0,0,11,11,8,0,6,7,21,5,0,5,6,5,5,5,5,6,6,5,12,17,18,11,6,12,11,6,6,11,6,6,5,10,5,5,12,5,5,48,22,16,28,16,11,0,19,12,27,13,42,22,20,30,11,12,25,29,28,34,30,28,34,29,32,31,40,10,11,14,44,45,26,21,37,37,25,47,31,50,22,22,29,37,48,28,10,44,15,39,22,20,20,18,24,25,18,17,22,14,16,18,23,26,19,33,19,40,20,36,28,38,40,45,35,29,49,44,52,36,33,25,38,39,19,39,38,36,30,17,22,32,22,32,35,27,28,29,30,30,26,37,38,37,32,38,39,45,28,33,14,6,14,20,20,11,35,11,11,39,39,18,21,38,42,62,32,33,38,25,35,50,23,31,29,35,14,22,40,45,24,28,27,29,36,34,13,14,9,12,0,0,0,0,0,7,5,0,29,33,42,43,47,36,33,46,43,44,33,14,16,32,26,21,17,23,23,25,15,15,15,6,7,6,25,16,6,13,16,9,16,10,25,9,31,23,31,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,10,13,16,15,22,20,14,22,16,6,11,14,6,17,14,18,15,16,18,16,18,16,16,17,0,14,10,16,49,48,48,48,5,6,7,13,16,9,9,8,8,18,27,23,6,13,19,23,21,19,19,6,6,15,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,7,6,6,12,5,0,0,0,0,0,0,0,0,5,0,0,5,7,13,5,0,10,0,11,0,14,8,8,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,8,0,9,8,0,0,0,0,1,0,20,0,0,32,0,0,0,0,8,7,14,14,0,9,0,8,31,29,24,0,8,0,5,6,0,11,8,11,10,7,7,0,7,5,0,0,0,11,16,5,12,11,13,13,7,0,11,0,0,0,4,4,4,12,8,0,0,8,8,0,6,7,13,7,7,0,12,12,13,7,6,6,6,21,6,21,20,15,6,6,15,0,6,6,7,8,0,0,7,0,7,7,0,0,7,7,7,12,0,0,0,0,7,6,12,6,5,7,7,7,11,19,11,11,16,16,10,11,12,11,14,9,12,40,13,0,0,7,13,26,26,9,0,6,8,13,8,12,5,0,0,0,7,8,8,7,8,8,8,7,8,8,7,7,7,7,16,12,4,12,11,8,15,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,13,8,7,8,6,12,7,7,11,12,12,13,12,11,12,0,7,7,7,7,7,12,12,7,6,6,6,7,6,13,11,11,8,13,6,7,6,7,0,7,7,7,6,6,7,7,6,0,6,7,8,6,0,7,0,7,4,8,7,15,12.16343174,11.95603015
1984,21,15,12,13,15,12,20,20,14,10,13,12,19,28,21,13,13,17,21,23,30,15,24,17,21,17,21,23,0,22,25,20,13,22,23,20,21,20,30,24,30,23,18,31,30,31,30,30,15,30,19,31,30,31,22,24,30,37,26,32,17,30,29,24,31,23,23,23,23,17,31,38,21,22,29,25,15,28,18,19,23,18,19,8,37,19,37,36,38,45,41,40,41,37,39,47,48,39,39,38,33,31,38,40,38,38,39,44,44,42,41,40,39,49,40,38,27,31,31,34,31,19,22,39,34,26,18,22,30,27,25,31,22,20,20,28,20,22,31,22,31,27,27,27,22,21,29,30,20,0,5,0,0,11,0,11,6,5,5,13,28,28,21,20,21,21,19,20,20,20,21,20,20,22,32,32,21,32,30,30,31,32,30,20,27,31,32,22,21,32,28,26,20,25,25,19,33,35,31,33,36,20,20,17,18,18,22,19,25,39,11,10,11,28,32,20,29,33,28,25,29,34,28,0,0,5,5,5,5,0,9,11,10,12,12,0,18,14,18,8,22,6,29,19,12,6,10,10,0,6,0,0,7,6,28,6,6,6,10,5,10,16,5,0,5,0,5,5,0,5,5,0,0,0,0,0,0,5,0,0,0,10,0,5,0,0,6,0,12,5,7,6,6,7,6,6,5,12,9,4,4,24,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,5,0,0,5,5,4,9,21,13,18,11,5,11,10,11,12,11,11,5,13,5,9,4,10,0,6,21,6,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,5,11,6,0,11,0,0,0,0,0,5,0,5,8,12,7,8,10,0,11,7,6,5,0,0,0,0,0,0,0,0,16,16,11,16,10,19,19,23,21,0,0,0,0,0,0,0,0,0,0,14,18,14,24,23,29,23,18,5,6,8,0,12,6,24,19,10,19,23,21,20,17,13,19,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,7,0,0,0,0,0,11,0,9,10,11,11,0,14,11,9,12,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,2,3,3,2,0,1,0,0,0,1,0,0,0,0,1,3,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12.12367614,9.366834171
1985,0,2,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,3,5,2,2,15,2,7,2,3,7,10,5,13,12,5,5,13,13,5,10,10,13,15,10,9,9,9,9,10,15,18,5,8,14,12,17,14,20,14,15,10,14,28,19,23,9,14,10,14,14,14,9,14,10,33,12,15,21,12,16,19,21,13,23,18,23,20,23,19,21,34,39,41,46,31,25,27,35,30,31,25,18,19,14,14,20,21,19,15,16,32,32,30,40,30,49,52,50,29,41,35,32,36,34,28,28,49,35,29,30,29,37,31,32,52,32,32,35,28,29,35,36,27,36,28,33,28,29,28,51,52,28,21,23,29,22,36,20,29,23,21,25,30,54,62,34,27,28,33,32,35,33,35,33,32,30,42,42,46,49,47,52,49,49,51,49,30,29,38,29,32,34,49,43,49,20,9,21,16,19,28,24,30,38,27,16,25,15,16,15,15,19,49,7,7,12,13,13,7,11,17,16,6,22,44,38,9,6,0,5,11,30,6,0,12,14,21,20,22,21,20,21,18,8,0,5,0,13,13,0,14,6,12,5,5,0,5,0,5,6,6,7,7,8,7,19,14,19,18,18,12,7,13,21,9,24,22,14,23,22,14,21,17,11,14,15,14,6,13,6,14,14,6,14,7,6,6,6,7,5,5,8,8,8,5,11,16,0,0,7,7,8,12,0,14,13,23,6,6,13,12,6,12,7,7,11,16,5,7,11,11,6,0,14,10,5,12,11,7,24,8,14,0,5,7,0,0,0,0,0,0,0,0,0,14,23,22,13,24,12,12,19,19,22,23,7,6,0,0,0,0,11,1,26,6,5,5,0,0,0,0,0,0,0,0,1,0,8,1,1,0,10,18,5,8,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,0,0,0,0,0,11,0,0,0,0,0,5,7,0,5,5,10,0,5,5,0,0,0,0,0,0,5,5,7,7,6,1,0,7,5,17,17,39,32,0,0,0,0,0,0,0,0,0,18,6,23,14,34,40,28,14,11,12,24,0,6,11,11,10,1,5,0,7,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,17,19,16,8,0,0,0,7,12,0,0,6,8,18,15,9,0,0,0,0,9,12,9,0,29,9,8,0,0,0,9,5,0,0,5,0,7,33,15,15,0,9,8,0,0,13,7,9,16,11,13,6,0,0,7,0,10,13,18,12,7,12,19,7,12,6,6,13,6,6,7,8,10,7,7,5,5,6,7,7,7,6,13,13,11,6,11,12,10,11,7,8,7,7,6,11,6,12,7,7,12,7,6,6,11,6,7,12,6,8,5,13,8,7,7,12,6,12,6,6,5,7,6,6,6,20,6,11,5,11,12,20,16,6,6,11,6,6,6,20,0,0,0,13,5,20,13,12,0,18,13,18,11,6,6,16,11,12,17,12,12,12,12,13,5,7,6,7,14,14,18,19,19,19,13,12,7,0,0,10,12,5,5,10,5,7,11,11,11,11,5,0,5,18,5,8,8,16,8,17,16,12,9,12,17,11,7,16,13,10,6,6,5,6,6,5,0,13,7,11,9,8,6,5,6,6,13,6,0,10,10,8,8,8,16,6,9,6,13,6,17,18,16,12,17,19,15,15,12,18,18,17,12,16,14,13,17,13,18,0,5,11.7042697,12.06155779
1986,0,7,7,0,7,6,6,7,6,0,5,6,5,5,6,6,6,6,6,6,10,5,6,12,11,10,10,0,0,11,6,5,5,5,10,6,11,5,0,6,11,11,5,11,5,11,6,11,0,5,12,11,5,11,6,6,12,6,6,10,16,10,6,11,11,11,11,6,11,11,6,6,6,6,6,6,6,9,5,12,6,6,6,6,5,6,18,22,18,28,20,17,12,18,23,20,23,16,11,11,11,7,11,12,7,11,11,19,18,13,18,12,35,29,25,17,33,35,35,41,36,32,18,43,25,35,31,22,44,59,51,59,42,28,21,39,35,53,50,46,48,46,45,57,53,47,65,61,37,17,33,33,34,28,14,32,28,24,24,16,38,49,50,34,40,42,35,40,30,40,43,39,25,47,60,54,62,56,46,53,56,56,63,12,13,29,47,31,36,57,29,29,5,0,18,7,16,15,22,19,28,17,14,17,14,19,14,14,16,33,12,5,12,14,21,6,25,27,27,37,37,39,41,5,11,5,10,6,11,5,0,0,0,6,5,6,14,7,17,6,7,6,10,5,5,0,13,13,6,5,6,8,19,20,16,0,0,0,6,0,5,5,5,5,5,5,5,0,0,5,5,6,0,5,5,16,5,5,5,16,11,17,12,6,16,5,5,0,6,0,6,5,6,19,12,5,0,11,21,28,21,19,22,41,14,16,35,30,12,11,18,21,10,10,15,22,10,5,5,10,38,28,16,26,5,5,16,5,5,17,10,19,10,10,10,16,10,6,5,14,30,29,30,30,39,5,16,16,16,27,31,11,5,5,5,10,0,0,5,5,11,5,16,7,7,18,22,18,17,19,30,19,20,19,13,14,20,14,7,13,6,18,12,17,17,52,25,18,14,32,27,9,31,21,6,20,0,18,32,40,32,26,32,5,11,26,28,29,11,36,28,10,10,11,12,7,11,11,11,11,15,11,5,5,5,5,5,14,16,12,12,10,11,10,12,19,12,19,21,5,14,18,18,18,18,22,22,25,19,18,26,26,31,48,5,5,11,5,6,11,5,5,6,16,17,40,26,33,31,16,22,22,12,16,16,5,21,16,15,17,21,15,16,23,28,11,16,16,11,21,27,20,5,20,6,5,19,33,5,23,33,18,55,23,18,43,25,39,30,26,26,27,25,0,0,14,18,19,23,24,12,23,27,28,21,22,17,18,22,33,12,39,25,24,27,35,36,31,17,19,20,18,30,13,28,22,18,19,19,19,26,84,25,0,11,37,32,33,11,30,25,12,5,18,18,18,26,30,11,20,38,28,10,19,13,18,24,25,5,10,0,6,5,0,5,0,0,0,0,12,0,7,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,5,5,0,0,0,0,0,5,6,0,0,6,0,7,6,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,5,5,5,6,7,5,5,5,5,10,0,5,0,0,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,6,0,0,0,0,5,0,6,0,6,5,5,5,5,0,0,0,0,0,0,0,5,0,0,0,6,6,6,0,0,5,12,6,5,6,0,0,0,5,5,6,6,7,6,5,6,6,6,0,0,0,0,9,7,0,0,0,0,10,5,5,0,0,0,0,0,0,5,8,0,5,10,6,6,6,0,6,5,5,0,0,0,6,7,7,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13.62657044,13.73241206
